rating,title,text
1,don't waste your money,not worth a penny
1,Limited run fail,the game itself is wonderful. limited run ruined the release by pushing back multiple months. do yourself a favor and buy the digital or buy from another company and stop giving limited run business.
4,It coming,March 15 this character will be released at standard retail price in the US
5,A joy to play,"I usually suck at games like this (first time playing Guitar Hero, I swear the game was laughing at me because I was so terrible), but I have to say that I am enjoying the playthrough of this game.  I am new to the Vocaloid genre (I knew about it but only just starting listening to them), but I must say I like listening to the songs and enjoy the videos (sometimes you can forget that they are a computer program and not real people).  Now I only went through easy, and working on the normal difficulty but it does not get boring.  I hope they bring some add ons later, as well as new costumes and other things for the interactive part of the game.  If you like Hitsune or the genre in general you will enjoy this game."
5,awsome,my grandson covered his xbo and remote in the gold
1,WHAT A DISAPPOINTMENT!!! IT'S LIMITED TO WORK ON WINDOWS 10 ONLY!!!!! DO NOT BUY IF YOU USE 7,WHAT A COMPLETE DISAPPOINTMENT TO FIND OUT THAT ONE OF THE MOST AMAZING PRODUCTS FOR STREAMERS ALL OVER THE WORLD IS FREAKING LIMITED TO THE LAST AND MOST INTRUSIVE WINDOWS VERSION OUT THERE.. WINDOWS 10. THIS IS SO UPSETTING. I HAVE NEVER COME ACROSS TO A DAMN PERIPHERAL THAT IS LIMITED TO 1 WINDOWS VERSION. COME ON WHAT'S GOING ON ELGATO???? YOU GOING TO FORCE ME TO UPGRADE WHEN I HAVE BEEN AVOIDING WINDOWS 1O ON MY PERSONAL SYSTEM? MAKE SURE THAT AMAZON MAKE THE WARNING A BIT MORE OBVIOUS AND TELL THE WORLD THAT IT WOULD ONLY WORK ON WINDOWS 10 AND NO OTHER WINDOWS BELOW.
1,Very buggy,"Horrible game, even after the patch.  I had it crash 8 times in the first 24 hours and just gave up on it."
5,Its a good game. Most never gave it a fair chance ...,Do not listen to the haters. Its a good game. Most never gave it a fair chance they still judging on first appearance.
5,The slimmest desktop mechanical keyboard on the market,"This is the slimmest desktop mechanical keyboard on the market.  The Kailh low-profile blue switches feel different than the full size version.  They feel much tighter and smoother in my opinion.  The replacement key cap sets that you see will not fit this keyboard, but the included caps are good enough.  The switches feel crunchy and a bit loud at first.  They quiet down and smooth out once they break in a little.  The RGB lighting system is excellent.  The white color is a very clean white.  It does not have a blue or pink tint.  I love not having to lift my wrists so much.  It really reduces fatigue.  The removable USB cable is great for storage, but the socket is recessed and very tight.  Many micro USB cables will not fit the recess.  The weight is just right.  It is heavy enough to stay put without being too heavy to push out of the way.  This is a unique product, and I have not found anything else like it.  Give it a try."
5,Work great,I bought this with my controller and everything work great
5,Nostalgia!,"Functionally speaking, mine has worked perfectly. No issues. As others in the reviews have said, you need a 5v 1amp adapter to plug into the wall if you don't want to plug into the TV to power it. I tried a 2amp adapter and the system would not turn on. So, it definitely must be a 1amp. The controller cord is incredibly short. I recommend getting a set of longer ones. I wanted a second controller anyhow so that didn't matter to me. I got a set of 10ft controllers and have been fine. I like that I can save my spots for every game in the system. You can find the whole listing on NES' website. This thing is so tiny! Shows how far tech has come. All those games on this lil thing. The only downside, which isn't a downside because I thought about it before getting and made the choice is that the games on this system are built in. There are no cartridges. That means if I want more, I cannot have them. If you want games not on the listing, you then you should with a different system than the mini and be able to swap cartridges. If that is not a concern, then you're all set like me!"
2,"Horrible DRM, buy steam version instead","I preordered this game through Amazon, which does not in fact give you a steam code, but a code to use through telltale's website. Nonetheless I was excited to play it as soon as it came out, so i downloaded it off the telltale website. The authentication as soon as you start the game requires you to make and sign in with a telltale account, but there have been HUGE server issues, which leaves me with no game to play for a second day now as the game can't connect to telltale's servers to authenticate a game i preordered. Support of the telltale forums has said to just be patient, but I find it unacceptable that people on Steam have already been playing since yesterday and pirated copies have already made their way around. I'll update when the issues are fixed but for now AVOID THIS VERSION"
5,18 years in the making!!! Its finally here!!!,"Finally it took 18 or so years for ryo to get out that cave and take his much over do revenge on lan di, the man who killed his father. This game is especially more meaningful and special to all who gave in to have this game made in kickstarter. Its finally here and we deserve it!!!!"
2,Packaging sells,"The packaging for Post Mortem makes it look like an exciting, dark and mysterious game.  Its not.  Graphics for the main character are repetitive and annoying.  You can't skip the dialogue no matter how long and repetitive it is and absolutely none of the witness are the least bit interesting.  Simply didn't like it.  Save your dough."
4,something different,"I really liked this game. colorful characters and unique puzzles. the only problem I had was the lock on the wolf's house. it froze when I clicked out of the puzzle, so I had to start all over. when I got back to that puzzle I just skipped it. no other problems. it went smooth from there. good length."
1,"Parents! Read Carefully and Believe Me, You Don't Want to Buy This!","Gather round gamers and let me tell you a story. I call it ""Busted Headset and the Father with Infinite Patience"". I purchased this headset in December 2019 as a gift and by February 2020 the unit no longer charged. I contacted the manufacturer expecting a quick resolution consisting of a return and replacement. Instead, I ventured into a return process that resembled one of those hedge mazes. The replacement process began on February 29, 2020 and a replacement unit was finally received on April 7, 2020. Over the course of 22 excruciating emails, I was instructed to try different chargers, reset it with a paperclip, and send at least a dozens of photos. I had to send a copy of the invoice, but not from a mobile device! Oh no, only a screenshot from a PC using a Snip tool is acceptable! Then they decided the claim was valid and instructed me to break the headset in a very specific method (because failure to follow any instructions could invalidate the claim). Empowered by their instructions I snapped off an earpiece and cut the wires. Next, they asked for photos of the broken unit. Sadly, the photos were insufficient proof  and they decided they needed the unit and instructed me to mail it. In keeping with their increasingly bizarre instructions, we had to include a QR code. Fingers crossed, we sent it off, worried that we may have taped the box incorrectly and blown the deal. Finally, we were sent notice that a replacement unit was on the way. Now they're bugging me with requests for customer service surveys, to which I reply, if you don't know how awful it is by now, you'll never know."
