rating,title,text
5,Fun Times,"This is a great little system for the family room. If someone is watching the TV, just pick it up and go. Mario Kart 8 Deluxe has been hours of fun. The only issue for a lot of folks can be the controller size. When removed from the main part of the system to play multi-player games, your fingers and feel cramped. They're really small. Other than that, can't wait to pick up some more games."
1,HORRIBLE!,It sucks.
4,Great programs. Great price.,"I ordered this pack simply to try out combat chess. It's a newer version of a very old game called battle chess. The pieces fight when they capture. Animation is good, and it makes the game humorous.  The pack also includes Maurice Ashley Teaches Chess. This is probably my favorite because you get to watch actual chess games between Grandmasters! Maurice comments on the moves and explains why they were made. I find it fascinating to watch the 13-year-old Bobby Fischer outwit his opponent by thinking 10-13 moves ahead. This program is good for children or beginner players because the first few lessons explain in detail how each piece moves, how the game is played etc... It is also good for higher-level players because the advanced lessons are good memory and logic exercises.  For you windows 2000 users, these are the only two programs that will run. That is unfortunate, but they are 2 very good programs, and I would have still purchased this product if I knew that ahead of time."
5,Awesome!!!!,"I just received this game today and started playing it.  For years I have wanted to find something that is fun and exercise, something that doesn't feel like a workout.  I have purchased workout video after workout video and either never did them, or did them once and that was it.  This game is so much fun and you don't even realize that you're getting exercise at the same time.  I am 31 years old and I totally love this game.  I think I could do it all day long!  You get a great workout and have so much fun.  I have only tried ""freestyle mode"" so far, but I plan on trying everything.  In freestyle mode, you get a letter grade for your performance.  I started off most songs getting a C or even a D and am now getting A's on all of them.  There are way more advanced modes as well.  This game will keep me busy for a while and hopefully burn a lot of calories.  If I enjoy this game and actually use it, so will you.  I promise it will be a great investment, no matter what your age is.  Buy it!!!"
1,"Pre-Ordered, may be returning.","I've been eagerly awaiting the release of this game for years and pre-ordered it months ago.  I am now bitterly disappointed to learn of the outrageous DRM policy.  As someone who has a lot of hardware who tends to reformat hard drives from time to time, this is a real problem.  Much as I was looking forward to Spore, I may now simply ship it back.  Disgusting!"
2,What's all the hype about?,"Everyone must have brain fog because this game is not the masterpiece that its claimed to be. Gameplay is clunky, the open world is sparse, and the graphics are meh with pop-in textures galore. Stop being a try-hard and go play something besides a souls-like for once."
5,great fun for the family,we loved this game it was great fun for everyone we had lots of laughs
5,"Just Like The Old WiiMote, Only It's In Black.","This worked exactly as expected, and it finally comes in black!  This Wii Remote works exactly like the old WiiMote from the original Wii, as far as I know.  I got it for my partner and I to play Mario Kart 8 together since she was used to the WiiMote controls from Mario Kart Wii.  It works just as you'd expect it to."
1,Only one ear has audio.,Right out of the box only one of the sides of the headset worked. Had it replaced and the new one we received is the same. Only one ear has audio.
5,Fantastic Case for the Nintendo Switch!! HIGHLY RECOMMEND,"I've been wanting to get a case for awhile, but wanted the 'right one'. And this case exceeds my expectations. The switch fits perfectly and safely in the case, and there's plenty of room for games and other accessories. Highly recommend!"
5,Try different things to pair to Fire TV.,"Bought as a second unit since I got one Fire controller last year on Prime Days for the Grandkids.  Didn't want to spend a ton for something used maybe twice a year and they wanted to play against each other when visiting last week.  As others have stated it was difficult to pair because I was following everyone else's directions.  For me, instead of HOLDING the mode and X, I just PRESSED them for a second and let go.  The red light started blinking and it showed up on the TV ready to pair.  If I HELD the buttons FIRE never found it.  The kids said it worked great."
